especie,contig,tipo,inicio,fin,categoria
aspergillus_oryzae,NC_036435.1,NRPS,3736891,3802098,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036435.1,"T1PKS, NRPS-like",3820160,3918400,PKS (policétidos)
aspergillus_oryzae,NC_036435.1,T1PKS,4249588,4317775,PKS (policétidos)
aspergillus_oryzae,NC_036435.1,NRPS-like,4575611,4646376,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036436.1,"NRPS, NRPS-like",0,55587,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036436.1,NRPS,62484,127411,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036436.1,"NRPS, terpene-precursor, T1PKS",608747,764003,PKS (policétidos)
aspergillus_oryzae,NC_036436.1,"terpene, T1PKS",952336,1039270,PKS (policétidos)
aspergillus_oryzae,NC_036436.1,"T1PKS, NRPS-like",1264208,1374657,PKS (policétidos)
aspergillus_oryzae,NC_036436.1,NRPS-like,4624854,4688437,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036436.1,NRPS-like,6192299,6255365,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036437.1,"terpene, NRPS-like",172443,252235,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036437.1,"NI-siderophore, terpene",732489,785320,Terpenos
aspergillus_oryzae,NC_036437.1,terpene,1059519,1089981,Terpenos
aspergillus_oryzae,NC_036437.1,T1PKS,1098363,1163810,PKS (policétidos)
aspergillus_oryzae,NC_036437.1,NRPS,1356058,1430399,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036437.1,T1PKS,2261903,2328906,PKS (policétidos)
aspergillus_oryzae,NC_036437.1,"NRPS, terpene",3459599,3523616,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036437.1,"NRPS, terpene",4008631,4071847,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036437.1,T1PKS,4666779,4734262,PKS (policétidos)
aspergillus_oryzae,NC_036437.1,"T1PKS, indole",5062129,5123684,PKS (policétidos)
aspergillus_oryzae,NC_036438.1,terpene-precursor,1440540,1471775,Terpenos
aspergillus_oryzae,NC_036438.1,terpene,1725123,1762065,Terpenos
aspergillus_oryzae,NC_036438.1,terpene,2862140,2894545,Terpenos
aspergillus_oryzae,NC_036438.1,T1PKS,3007794,3074445,PKS (policétidos)
aspergillus_oryzae,NC_036438.1,NRPS,3234837,3303873,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036438.1,terpene-precursor,3540628,3571739,Terpenos
aspergillus_oryzae,NC_036438.1,NRPS,3586581,3653693,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036438.1,indole,3655507,3686848,Otro
aspergillus_oryzae,NC_036438.1,T1PKS,4078474,4145764,PKS (policétidos)
aspergillus_oryzae,NC_036438.1,terpene,4161908,4192945,Terpenos
aspergillus_oryzae,NC_036438.1,terpene,4312027,4343073,Terpenos
aspergillus_oryzae,NC_036438.1,terpene,4728536,4761082,Terpenos
aspergillus_oryzae,NC_036439.1,T1PKS,153923,237433,PKS (policétidos)
aspergillus_oryzae,NC_036439.1,terpene,275304,305671,Terpenos
aspergillus_oryzae,NC_036439.1,indole,759848,791289,Otro
aspergillus_oryzae,NC_036439.1,T3PKS,828576,889901,PKS (policétidos)
aspergillus_oryzae,NC_036439.1,T1PKS,918434,984509,PKS (policétidos)
aspergillus_oryzae,NC_036439.1,terpene,1738451,1770735,Terpenos
aspergillus_oryzae,NC_036439.1,T3PKS,2555020,2616344,PKS (policétidos)
aspergillus_oryzae,NC_036439.1,"NRPS, indole",2713119,2778375,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036439.1,terpene-precursor,2814767,2846485,Terpenos
aspergillus_oryzae,NC_036439.1,fungal-RiPP,4081578,4137471,Otro
aspergillus_oryzae,NC_036439.1,terpene-precursor,4424684,4459401,Terpenos
aspergillus_oryzae,NC_036439.1,T1PKS,4500067,4533889,PKS (policétidos)
aspergillus_oryzae,NC_036440.1,indole,457191,488509,Otro
aspergillus_oryzae,NC_036440.1,NRPS,848834,920798,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036440.1,NRPS-like,1185157,1248286,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036440.1,"terpene, T1PKS, isocyanide",1315622,1455404,PKS (policétidos)
aspergillus_oryzae,NC_036440.1,"NRPS-like, NRPS",2136225,2223034,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036440.1,"terpene, T3PKS",2325964,2394039,PKS (policétidos)
aspergillus_oryzae,NC_036440.1,NRPS,2602285,2678300,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036440.1,T1PKS,3072283,3140623,PKS (policétidos)
aspergillus_oryzae,NC_036440.1,NRPS-like,3264047,3326935,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036440.1,"terpene, T1PKS",3401479,3485492,PKS (policétidos)
aspergillus_oryzae,NC_036440.1,nitropropanoic_acid,3573941,3591897,Otro
aspergillus_oryzae,NC_036441.1,T1PKS,3836,71492,PKS (policétidos)
aspergillus_oryzae,NC_036441.1,"NRPS, terpene-precursor",91831,188574,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036441.1,terpene,277745,308902,Terpenos
aspergillus_oryzae,NC_036441.1,terpene,388402,419767,Terpenos
aspergillus_oryzae,NC_036441.1,NRPS-like,799518,862899,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036441.1,terpene,1029545,1060095,Terpenos
aspergillus_oryzae,NC_036441.1,terpene,1159053,1190121,Terpenos
aspergillus_oryzae,NC_036441.1,"indole, terpene",1874621,1910234,Terpenos
aspergillus_oryzae,NC_036441.1,T1PKS,2749104,2814405,PKS (policétidos)
aspergillus_oryzae,NC_036442.1,"terpene, NRPS",313729,392616,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036442.1,"NRPS, T1PKS",659368,735911,PKS (policétidos)
aspergillus_oryzae,NC_036442.1,NRPS,803563,869335,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036442.1,NRPS-like,2024164,2087391,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036442.1,"NRPS-like, T1PKS",2213649,2333362,PKS (policétidos)
aspergillus_oryzae,NC_036442.1,NRPS-like,2396468,2459772,NRPS (péptidos no ribosomales)
aspergillus_oryzae,NC_036442.1,terpene,2845397,2877007,Terpenos
aspergillus_oryzae,NC_036442.1,T1PKS,3071937,3139728,PKS (policétidos)
aspergillus_oryzae,NC_036442.1,T1PKS,3246010,3312476,PKS (policétidos)
